https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1556064000,2019-04-24 00:00:00,ETH/GBP,132.25,132.49,125.4,128.08,53023.82,411.15
1555977600,2019-04-23 00:00:00,ETH/GBP,133.44,137.02,130.94,132.25,73400.64,546.53
1555891200,2019-04-22 00:00:00,ETH/GBP,131.06,134.06,130.05,133.44,46065.25,348.01
1555804800,2019-04-21 00:00:00,ETH/GBP,133.81,134.26,128.92,131.06,59888.26,458.22
1555718400,2019-04-20 00:00:00,ETH/GBP,134.9,137.87,131.96,133.81,17090.48,126.79
1555632000,2019-04-19 00:00:00,ETH/GBP,134.35,134.9,130.85,134.9,31506.96,237.12
1555545600,2019-04-18 00:00:00,ETH/GBP,128.23,136.5,128.23,134.35,42948.74,322.13
1555459200,2019-04-17 00:00:00,ETH/GBP,128.62,129.64,127.1,128.23,40120.77,313.89
1555372800,2019-04-16 00:00:00,ETH/GBP,123.21,129.18,122.25,128.62,12276.42,96.65
1555286400,2019-04-15 00:00:00,ETH/GBP,128.46,129.71,119.47,123.21,124183.54,1016.13
1555200000,2019-04-14 00:00:00,ETH/GBP,126.48,130.31,124.32,128.46,26841.73,212.68
1555113600,2019-04-13 00:00:00,ETH/GBP,126.85,127.27,124.53,126.48,7391.58,58.56
1555027200,2019-04-12 00:00:00,ETH/GBP,124.81,128.23,123.0,126.85,19025.91,151.27
1554940800,2019-04-11 00:00:00,ETH/GBP,135.53,135.53,123.0,124.81,157283.55,1236.29
1554854400,2019-04-10 00:00:00,ETH/GBP,134.94,141.33,129.45,135.53,194235.43,1448.89
1554768000,2019-04-09 00:00:00,ETH/GBP,138.34,138.34,134.78,134.94,83091.77,608.14
1554681600,2019-04-08 00:00:00,ETH/GBP,135.13,143.39,135.05,138.34,133612.05,958.59
1554595200,2019-04-07 00:00:00,ETH/GBP,127.85,137.07,127.29,135.13,137087.86,1026.27
1554508800,2019-04-06 00:00:00,ETH/GBP,128.19,133.06,124.05,127.85,102859.85,798.42
1554422400,2019-04-05 00:00:00,ETH/GBP,121.91,130.25,120.84,128.19,48411.7,380.49
1554336000,2019-04-04 00:00:00,ETH/GBP,122.23,125.4,118.65,121.91,92586.45,755.42
1554249600,2019-04-03 00:00:00,ETH/GBP,125.99,137.4,115.29,122.23,338979.64,2672.24
1554163200,2019-04-02 00:00:00,ETH/GBP,109.84,127.7,109.49,125.99,936660.6,7948.68
1554076800,2019-04-01 00:00:00,ETH/GBP,110.46,111.8,107.72,109.84,67129.49,610.77
1553990400,2019-03-31 00:00:00,ETH/GBP,110.83,110.83,109.38,110.46,34095.37,309.71
